视频链接,视频名称,总播放数,历史累计弹幕数,上传时间,点赞数,投币数,收藏数,转发数,标签
https://www.bilibili.com/video/BV1HB4y1p7Mx?from=search,考研励志叫醒丨学习累了，想偷懒了，就回来听一听，提醒自己：煎和熬，都是变成美味的方式，加油也是！,920125,4071,2022-07-09 21:04:27,6.8万,2.0万,7.3万,1.1万,"校园分享官,演讲,必剪创作,知识,校园学习,学习,梦想,奋斗,努力,经验分享,励志短片,学习心得"
https://www.bilibili.com/video/BV1du411h7pY?from=search,考研6月再摆烂，你就是这个下场...一环扣一环！,4722,0,2023-06-14 19:00:00,356,7,104,9,"HappyEnd,考研人哪有不疯的,考研,知识,校园学习,经验分享,6月,摆烂,搞笑研究所20234.0"
https://www.bilibili.com/video/BV1wz4y187Pw?from=search,考研300分以上什么水平？？？,114890,155,2023-05-09 17:16:49,7272,122,208,35,"搞笑研究所,考研,生活,搞笑,段子,考研分数,搞笑研究所20233.0"
https://www.bilibili.com/video/BV1SL41117tW?from=search,【考研441分】24考研英语全年规划！B站最全！,258807,226,2023-03-05 17:21:00,1.8万,1.2万,2.7万,3040,"考研人哪有不疯的,考研,考试,知识,校园学习,颉斌斌,24考研,24考研英语,田静,考研英语,唐迟,全年规划,校园星发现·up！开学啦"
https://www.bilibili.com/video/BV1GL411w7UY?from=search,没想清楚这件事，我劝你别考研,495351,211,2022-01-21 11:46:34,1.8万,2338,1.2万,1633,"知识分享官,考研,知识,社科·法律·心理,励志,读书,原创,社会,学习,教育,自制,观点"
https://www.bilibili.com/video/BV1rT4y1Y7CV?from=search,【22考研】以此片纪念我的考研生活：用一年多的日复一日和枯燥去换一个梦，幸运的是，未曾辜负21岁的这一腔热血,315489,1159,2022-04-10 00:32:12,2.2万,9519,1.4万,2999,"你的答案,考研,知识,校园学习,励志,22考研"
https://www.bilibili.com/video/BV1S54y1W7ei?from=search,张雪峰答疑：双非211、985的同学考研时如何选择院校？这几点建议你们一定收好,542546,35,2021-01-06 09:46:05,8342,408,9594,996,"考研,知识,校园学习,张雪峰"
https://www.bilibili.com/video/BV13K41167Yf?from=search,【决胜考研】考研名师临考祝福，祝愿各位考生都能金榜题名，得尝所愿！我们明年研一见，考研加油！,330654,5090,2022-12-20 17:00:52,2.4万,1.1万,9148,6288,"一路生花,为考研生加油,知识,校园学习,年终校园大赏,励志,数学武忠祥,考研政治腿姐,考研祝福,考研政治徐涛,数学张宇"
https://www.bilibili.com/video/BV1as4y187js?from=search,为什么二本三本考研这么厉害？张雪峰说出了实话,159141,52,2023-02-18 10:16:09,5792,153,918,201,"考研人哪有不疯的,考研,知识,校园学习,大学,二本,三本,实话,张雪峰,校园星发现·up！开学啦"
https://www.bilibili.com/video/BV1xG41137zT?from=search,今年考研人数将突破500万？张雪峰：“学习是你这一生经历过的最简单的事儿”。,666901,1711,2022-09-14 17:23:03,3.9万,3500,1.2万,3173,"社会观察局,考研,考试,知识,社科·法律·心理,社科人文分享官,学习,教育,专业,研究生,2022考研,热点,张雪峰"
https://www.bilibili.com/video/BV1dk4y1p7dT?from=search,谨以此片献给我的2023年考研,8480,21,2023-06-07 00:41:47,397,59,136,9,"永远都会在,一起上岸吧,考研,知识,校园学习,学习,记录,成长,23年考研,一起上岸吧2"
https://www.bilibili.com/video/BV1wb4y1C7c4?from=search,3个月考研405分，因为每天复盘1h【内含数学，可操作性极强/空卡】,622071,1595,2021-07-15 18:44:00,2.9万,1.5万,3.3万,3304,"学习方法,考研,考试,知识,校园学习,知识分享官,知识,学习,研究生,复盘,学生党,经验分享"
https://www.bilibili.com/video/BV1jo4y1M78F?from=search,现在开始考研一点也不晚！【7个月详细规划】,70917,124,2023-05-28 11:59:17,3307,968,3948,595,"是老师，也是UP主！,考研,考试,知识,校园学习,学习,大学,高数,经验分享,考研英语,规划,学习心得"
https://www.bilibili.com/video/BV1SS4y1r73R?from=search,考研调剂纯干货 | 机会是靠自己抢来的！,264312,1977,2022-02-22 17:00:04,2.5万,2.2万,1.4万,4235,"知识分享官,考研,知识,校园学习,导师,经验分享,考研复试,考研经验,考研分数,调剂,考研成绩,22考研"
https://www.bilibili.com/video/BV1114y1a7C3?from=search,张雪峰：考研头铁的人太多，他们不知道自己退化得多么严重！,520634,132,2022-09-16 23:42:30,1.2万,233,2238,1381,"考研,搞笑,知识,校园学习,研究生,高能,大学,鲁豫有约,不知道,经验分享,张雪峰"
https://www.bilibili.com/video/BV1MT411J7aQ?from=search,考研清华的1976个小时,884239,1849,2022-07-10 12:00:00,7.3万,4.2万,5.6万,1.2万,"他不爱我,一起记录2022,考研,生活,日常,生活记录,励志,学习,上岸,我在B站做UP主"
https://www.bilibili.com/video/BV1Nq4y1i7Z8?from=search,考研越来越卷，真的需要这么多“研究生”吗？【朱伟老师】,416723,2648,2022-03-07 17:20:58,1.4万,4085,4915,3002,"学习帮帮团,考研,英语,考试,知识,校园学习,大学,研究生,学习,教育,经验分享,朱伟老师"
https://www.bilibili.com/video/BV1hL4y167qT?from=search,冲刺型狠人的专注力！如何在备考期间全身心投入？三个月考研日均学习12h，勇敢虎虎，不怕困难！,800582,951,2021-10-14 11:27:28,5.0万,2.4万,4.8万,7905,"校园超新星,考研,知识,校园学习,学习,学生党,备考,经验分享"
https://www.bilibili.com/video/BV1Ns4y1e7yo?from=search,【已完结】专科考研全国院校推荐 听我的绝不踩雷！,71854,45,2023-02-11 21:39:05,2237,1447,3533,408,"一起上岸吧,考研,知识,校园学习,24考研,考研择校,院校推荐,专科考研,专科生,同等学力,加试,专科生考研"
https://www.bilibili.com/video/BV1RV4y1c7AY?from=search,考研是一种简单游戏,256536,662,2022-12-21 16:45:12,1.6万,1.2万,5858,745,"历史人文档案馆,考研,知识,人文历史,社科人文分享官·第二期"
https://www.bilibili.com/video/BV16o4y1L71G?from=search,【24考研人】听完这段话还不快去学习？,123173,52,2023-04-28 16:28:57,9552,1399,7402,1177,"我曾遇到一束光,是老师，也是UP主！,英语学习,考研,知识,校园学习,研究生,24考研,24考研人,上岸,五一假期,经验分享,学习心得"
https://www.bilibili.com/video/BV1d34y1s7QK?from=search,考研up主们坑了你们的复试啊,586303,1035,2022-04-04 13:50:18,3.4万,8742,3.5万,4481,"考研复试感想分享,考研,知识,校园学习,经验分享,复试,学习心得,我的校园生活"
