视频链接,视频名称,总播放数,历史累计弹幕数,上传时间,点赞数,投币数,收藏数,转发数,标签
https://www.bilibili.com/video/BV1sV4y1r7ow?from=search,【一举成公】醒悟后给大家的六点建议（公考经验分享），希望能帮大家走出当局者迷，2024年公考加油！,38576,39,2023-05-13 14:34:04,2041,2097,2808,132,"サクラ(樱花),知识,校园学习,2024年国考,公务员考试,公务员,行测,公考,省考,事业编,国考,考编,公考经验"
https://www.bilibili.com/video/BV1JV4y1G7UD?from=search,【2023国考笔试】常识40000题大全，不用到处找了！,151869,143,2022-10-27 06:26:00,6790,5941,1.3万,733,"我们都爱搞学习,知识,校园学习,23国考,公考,常识,行测,上岸,省考,国考,行测常识,行测高分,我们都爱搞学习·第二期"
https://www.bilibili.com/video/BV1FT411w7rJ?from=search,【公考名师课】还在纠结名师课听哪个？快来看吧！,89174,112,2022-08-20 08:43:45,3426,863,6513,409,"知识,校园学习,公务员,公务员考试,申论,公考,行测,省考"
https://www.bilibili.com/video/BV1cW4y1B7M6?from=search,【言语逻辑填空满分技巧】逻辑填空这么做题，真的好用！公考上岸不能只埋头刷题 ！,106672,531,2022-09-09 16:39:12,3405,868,6236,542,"B站讲台等你来,学习方法,知识,职业职场,公务员,公务员考试,上岸,行测,公考,经验分享,省考,B选公开课创作激励计划"
https://www.bilibili.com/video/BV1E54y1S7BV?from=search,公考经验分享——行测怎样最有效率的从65分冲击75分、80分,444861,3774,2020-07-18 04:42:03,1.2万,1.0万,2.3万,5388,"知识,校园学习,知识分享官,公考,行测,公务员考试,经验分享,常识,省考,学习心得,公务员行测常识题1000题"
https://www.bilibili.com/video/BV1JA411m7tZ?from=search,考公考编人必备的10个网站！一定要收藏好了!,38911,3,2023-02-22 09:52:11,2014,665,5933,324,"知识,校园学习,考公人,考编资料,公务员考试,公考,考公,考编,考事业编,考编备考"
https://www.bilibili.com/video/BV1hP4y137s3?from=search,各专业考公现状,560003,1005,2021-12-02 22:51:49,4440,635,2184,9619,"知识,校园学习,专业,公考,公务员,公务员考试,法学类,打卡挑战"
https://www.bilibili.com/video/BV1Vs4y1N7YD?from=search,老师让我考研，家长让我考公。张雪峰:考个鸡儿研，直接考公，这年头读完研也得考公。,53836,93,2023-04-20 13:42:26,518,14,140,57,"是老师，也是UP主！,高考,考研,必剪创作,知识,校园学习,研究生,大学生,公务员,张雪峰,考公"
https://www.bilibili.com/video/BV1yo4y1b7t3?from=search,24公考用书大合集 上岸学姐百里挑一的书,10848,12,2023-04-22 18:39:00,682,613,1003,46,"知识,校园学习,公考,公务员考试,国考省考"
https://www.bilibili.com/video/BV1aN4y1T76e?from=search,直击公务员面试现场，88.6分面试全场第一！   适合：公务员面试  公考面试  事业单位面试 参考学习,574238,1313,2022-07-16 15:40:51,5.2万,1323,2.0万,3792,"面试,考试,公开课,知识,校园学习,学习,教育,经验分享,公考,省考,结构化面试,国考"
https://www.bilibili.com/video/BV1GL411k7kV?from=search,【张雪峰】应届生有无数次考公机会，应届生身份太重要了,96432,0,2023-03-23 17:41:03,2785,87,1081,246,"考研人哪有不疯的,知识,校园学习,励志,应届生,张雪峰,考公,校园星发现·离谱专业大赏"
https://www.bilibili.com/video/BV1wL4y1g7tV?from=search,公考扫盲篇 | 一无所知的小白该如何开始备考？准备流程+学习经验,58515,4,2022-03-10 12:20:53,2059,746,2804,313,"学习帮帮团,知识,校园学习,体制,公务员,考公"
https://www.bilibili.com/video/BV1sX4y1o7VM?from=search,一个小动作，彻底解决你的“不想学习”,762803,6108,2023-03-25 19:45:00,7.4万,2.8万,6.5万,5364,"一起上岸吧,高考,考研,知识,校园学习,大学,福格行为模型,经验分享,高中,中考,考公,电赛,一起上岸吧！"
https://www.bilibili.com/video/BV15b411p7bt?from=search,应届毕业生省考一次上岸！干货分享！,322283,338,2019-04-01 15:32:38,5906,2079,8610,683,"生活,日常,学习,公务员考试,行测,粉笔,公务员,公考,省考,考公"
https://www.bilibili.com/video/BV1SL4y1h7au?from=search,年轻人考公上岸，才能体会到生活有多香？【视知研究所】,253969,1571,2021-09-10 19:46:28,9423,3314,3719,2140,"知识分享官,科普,知识,社科·法律·心理,知识,上岸,公务员,就业,分享,年轻人,编制,考公"
https://www.bilibili.com/video/BV1gD4y1o7q1?from=search,数量关系《行测》系统课【讲义私信up或评论区置顶】【全国通用，最新 ，最全】王永恒  适用：2023国考、省考 2023公考 事业单位 上岸村 考公,3270273,8951,2020-09-16 09:48:42,13.3万,3.7万,14.8万,1.7万,"知识分享官,面试,知识,职业职场,数量关系,公务员考试,行测,公务员面试,国考,判断推理,言语理解"
https://www.bilibili.com/video/BV1TT411B7bz?from=search,戎震导演女粉丝回应：考公不到一个月成功上岸，申论学习10小时70+，经验传授！,28714,29,2023-03-31 00:42:22,803,359,1565,138,"我的公考日常,知识,校园学习,一起上岸吧！"
https://www.bilibili.com/video/BV1RL411q7V1?from=search,大四考公这半年，我是怎么过来的，致敬所有追梦人。,56221,5,2023-06-01 04:29:36,1248,153,1029,67,"起风了,知识,校园学习,学习,公务员,公务员考试,选调生"
https://www.bilibili.com/video/BV1f24y1t7bC?from=search,【惨】建议大学生别总想考公求稳，不要在意刚入职工资,1530717,842,2023-03-05 18:03:23,11.5万,2.1万,1.1万,5429,"唠嗑区UP主集结令3,脱口秀,搞笑,知识,职业职场,生活,逗比,专家,吐槽,唠嗑,大学生,公务员"
https://www.bilibili.com/video/BV1ob4y1R7uW?from=search,【36氪】你的公务员“铁饭碗”，是考公机构们的“聚宝盆”,409169,1720,2021-02-21 11:35:07,2.1万,6540,5694,6404,"知识分享官,经济,知识,财经商业,学习,教育,公考,资本,行测,国考,对赌,打卡挑战"
https://www.bilibili.com/video/BV1ua411f7Lt?from=search,全职考公一年回顾| 如果你也很迷茫犹豫就来看看吧，希望能激励你~,151339,119,2022-08-06 16:30:08,5061,1876,4066,1003,"我的学习记录,考试,必剪创作,知识,校园学习,校园分享官,学习,公考,经验分享,行测,省考,国考,学习心得"
https://www.bilibili.com/video/BV1sY411B79p?from=search,2023事业单位：综合应用A类系统课-天晓老师【讲义私信up或评论区置顶】上岸村天晓  天晓综应 公考上岸村 公考章晓铭 综应A,672803,31176,2023-03-09 11:12:04,1.6万,7329,3.3万,5606,"知识,校园学习,23事业单位,2023综合应用能力A类,公务员,上岸,事业单位,公共基础知识,公基,考编,事业单位联考,综应"
https://www.bilibili.com/video/BV1Vk4y1s7Le?from=search,揭秘公考“备考大骗局”，99%的考公人陪跑都因深受其害！8套公考网课+最强备考策略，带你稳稳的上岸！,18030,108,2023-06-01 17:06:05,501,200,1103,82,"公务员考试唠嗑,知识,校园学习,公考备考,公务员,上岸,公务员考试,公考,国考,网课,考公,考公务员"
https://www.bilibili.com/video/BV1Vh4y1R7QB?from=search,41天155+公考上岸经验杂谈,9222,19,2023-06-09 23:30:36,386,192,1192,45,"公考怎么备考,知识,校园学习,上岸经验,上岸,公务员,公务员考试,经验,备考,省考,公考上岸"
https://www.bilibili.com/video/BV1io4y1g76Z?from=search,公考到底难不难？不妨看看这4个真实案例！,21844,11,2023-05-27 00:06:12,776,425,787,76,"公务员考试,考试,知识,职业职场,申论,公考,行测,上岸,公务员,省考,国考申论,国考"
https://www.bilibili.com/video/BV1YY41197a2?from=search,大学生对考公考编完全不懂的看过来,185297,3,2023-01-17 17:00:40,7329,1883,1.9万,515,"分享我的职业故事,知识,职业职场,考公考编,寻找100位内行人对谈,经验分享,分享,记录"
