视频链接,视频名称,总播放数,历史累计弹幕数,上传时间,点赞数,投币数,收藏数,转发数,标签
https://www.bilibili.com/video/BV1NM411F7gE?from=search,疫情开放后，现在 IT 行业还有发展前景/空间吗？2023年IT行业就业前景分析,32960,140,2023-01-10 15:38:49,1065,425,3845,1061,"面试,计算机,互联网,编程,程序员,野生技术协会,公开课,知识,职业职场,IT,就业,就业前景,2022年度知识分享官评选"
https://www.bilibili.com/video/BV1z8411P7jm?from=search,人社部部长谈2023毕业生就业,185897,439,2023-01-10 10:43:07,2834,54,602,1497,"资讯,热点,毕业,机会,就业,高校,岗位,招聘,毕业生,求职,政策,2023"
https://www.bilibili.com/video/BV1dV4y1B7ce?from=search,峰哥：灵活就业下我国不存在失业！！,46318,48,2023-05-29 14:10:33,602,14,101,229,"夏天的第一份快乐,股票,财经,职场,生活,日常,正能量,生活记录,青年,大学生,工作,峰哥亡命天涯,生活万花筒6.0·沸腾吧！青年"
https://www.bilibili.com/video/BV1uC4y1a7Dm?from=search,就业乱世，如何正面应战！【所长】,669458,7946,2020-06-05 18:53:59,5.3万,3.7万,2.7万,1.1万,"知识,职业职场,学习,创业,毕业,赚钱,找工作,求职"
https://www.bilibili.com/video/BV1WW4y1t7Bs?from=search,毕业6年，灵活就业的哥们还好吗？|  家境普通，配不配创业？,481261,1384,2022-08-27 19:42:56,1.7万,9422,1.1万,3843,"程序员,职场,知识,职业职场,创业,打工,赚钱,互联网创业,planB,灵活就业"
https://www.bilibili.com/video/BV1WA411d7wZ?from=search,【张雪峰直播】想靠自己在新一线城市买房，我应该怎样就业？去哪里就业？,158804,144,2023-01-23 00:19:00,7212,89,1217,104,"用知识过好新的一年,高考,考研,知识,校园学习,直播,志愿填报,经验分享,一线城市,张雪峰,学习心得,考公,我在B站跨年"
https://www.bilibili.com/video/BV1x14y1W7Qk?from=search,计算机各学历就业情况，能拿多少薪资选择什么方向？,74460,76,2022-11-11 22:50:15,2158,674,2033,528,"计算机,互联网,编程,程序员,科技,计算机技术,就业,薪资"
https://www.bilibili.com/video/BV1wd4y1V7zV?from=search,6年就业老师：希望你趁早知道的7条校招建议，很多事没人告诉你！,585291,744,2022-09-03 21:35:00,3.3万,1.1万,3.2万,2069,"秋招求职要做哪些准备,面试,职场,知识,职业职场,简历,大学生,校招,应届生,职场加油站2022第二季"
https://www.bilibili.com/video/BV1Lz4y1i7vF?from=search,【讲内容】面试热点之就业问题，以前着重讲思路，以后多讲内容,2748,2,2023-06-10 12:33:11,103,45,50,4,"面试,知识,校园学习,联考面试,菜鸟本菜,就业,公务员考试,公务员面试,结构化面试,公考面试,国考面试,面试热点"
https://www.bilibili.com/video/BV1Su4y1Z734?from=search,2023夏招来了！22/23届毕业生校招上岸的最后机会，错过绝对后悔！夏季招聘｜应届生｜往届生｜国企央企｜求职｜就业｜捡漏,10108,5,2023-06-08 20:30:00,238,139,433,35,"职场新人进化论,知识,职业职场,夏招,国企,毕业生,求职,招聘,校园招聘,找工作,校招,应届生,搞笑研究所20234.0"
https://www.bilibili.com/video/BV1114y1S7mS?from=search,说学历不重要的，都是不懂社会规则的，就业不行是因为岗位太少,493,0,2023-06-15 03:56:23,23,2,10,1,"职场,知识,财经商业,创业,社会,学历,求职,职业"
https://www.bilibili.com/video/BV1uo4y1J7Fq?from=search,苏剑：大学生就业难的本质原因并不是期望职业过高，而是经济下行造成存量市场竞争困难。北京大学,46243,40,2023-06-10 12:54:38,1314,14,172,28,"热点观察局,知识,社科·法律·心理,星海计划,本质,原因,困难,职业,学生,就业,期望,造成"
https://www.bilibili.com/video/BV14K411Q7S5?from=search,马光远：逼迫人人都考研究生 对解决就业毫无用处 只会导致越来越卷！,436860,811,2022-10-15 18:00:00,2.9万,1236,4223,4121,"演讲,职场,考试,知识,社科·法律·心理,社会,教育,中国,讲座,大学,硕士,就业,热点"
https://www.bilibili.com/video/BV19o4y1z7Mx?from=search,7年就业老师：找实习难？希望你趁早知道的4个求职真相，必看！,96563,582,2023-03-06 21:00:00,7725,2847,6510,490,"我最值得分享的职场经验,面试,知识,职业职场,今天也要好好工作,简历,求职,大学生,就业,实习"
https://www.bilibili.com/video/BV1H8411Z7yv?from=search,老祥谈毕业六年来就业的经历,3407,49,2023-06-07 00:49:14,203,158,67,24,"你好，准大学生,生活,日常,大学,青春,毕业,就业,工作,经历,真实,求职,找工作,B站创意话题大赏"
https://www.bilibili.com/video/BV1524y1x7jo?from=search,提议付费上班解决就业问题,190249,183,2023-03-17 20:11:04,1.3万,1334,1820,1710,"搞笑,动画,短片·手书·配音,动画制作,原创动画,搞笑动画,就业,问题,沙雕,付费"
https://www.bilibili.com/video/BV1Tg4y1u7iH?from=search,探访顶尖大专深职院，一所真正帮学生就业的大学,190640,1138,2023-04-12 11:30:00,6026,764,1015,2254,"关于大学的那些梗,高考,生活,出行,校园,毕业,留学生,大专,深职院,就业,选专业,深圳职业技术学院"
https://www.bilibili.com/video/BV1654y1c7DR?from=search,心理学难就业？不好找工作？我们统计了三年间心理学就业情况，得出这份心理学专业就业报告！,15458,8,2023-02-25 18:00:00,547,136,492,179,"心理学,考研,知识,科学科普,学习,大学,专业,研究生,找工作,就业"
https://www.bilibili.com/video/BV1bV4y1z7jJ?from=search,温铁军：为何就业难？毕业即失业的真相？,58008,109,2023-05-28 23:53:01,2819,214,840,620,"经济,理财,互联网,金融,股票,财经,知识,财经商业,创业,商业,投资,基金"
https://www.bilibili.com/video/BV1Bk4y1H7Vb?from=search,应届生洛阳就业也太难了!!!!,8996,29,2023-06-03 18:52:58,121,15,54,58,"应届生求职,演奏,音乐,演奏,毕业,学校,洛阳,学生,就业,应届生"
https://www.bilibili.com/video/BV1sm4y1r79y?from=search,本科毕业就业难上天，读研卷学历是解药吗？,346156,796,2023-03-28 12:20:40,1.1万,3054,2930,1380,"内行人在身边,考研,职场,知识,职业职场,研究生,寻找100位内行人,经验分享,就业,学历,李永乐,求职,内卷,学习心得"
https://www.bilibili.com/video/BV16o4y1a7bk?from=search,数学or电子信息就业方向，张雪峰:五年前的牛马突然就吃香了,64294,44,2023-03-01 07:08:12,1564,78,421,149,"必剪创作,知识,职业职场,电子,电子信息,信息,方向,规划,就业,张雪峰,牛马"
https://www.bilibili.com/video/BV128411Z74U?from=search,21届毕业生就业现状，忽喜忽悲悲悲,28827,46,2023-06-08 11:45:00,628,113,151,19,"随手记录我的生活碎片,高考,生活,日常,生活记录,南京就业,21届本科,真实,工作,现状,infp,毕业生就业,爱就哔需说出来"
https://www.bilibili.com/video/BV1qV4y1U7yF?from=search,没找到工作必看，三方就业协议的作用，学校天天催你签的原因，涉及人员和应对方式。,5212,18,2023-06-05 15:55:27,185,61,190,25,"校园唠嗑会,必剪创作,知识,校园学习,科研助理,春招失败怎么找工作学校让签三方,不签三方就业协议不让毕业怎么办,搞笑研究所20234.0"
https://www.bilibili.com/video/BV1ws4y1E7EU?from=search,张雪峰老师谈各专业就业情况，简直受益匪浅！,146121,165,2023-04-01 10:09:00,2626,124,2512,883,"一起上岸吧,知识,校园学习,专业,经验分享,鲁豫有约,老师,就业,张雪峰,一起上岸吧！"
https://www.bilibili.com/video/BV1iM4y1b71t?from=search,马云：制造业解决不了就业问题，反而会减少就业。,115564,247,2023-05-06 07:30:00,2928,58,414,306,"马云,经济,互联网,知识,财经商业,创业,找工作,制造业,大学生,就业,问题,实体经济"
https://www.bilibili.com/video/BV1yL411B7aE?from=search,【张雪峰】本科毕业很好就业,17820,7,2023-05-22 16:06:13,706,5,70,8,"考研人哪有不疯的,知识,校园学习,毕业,就业,本科,张雪峰,生活万花筒6.0·沸腾吧！青年"
https://www.bilibili.com/video/BV1p14y1f76e?from=search,计算机硕士就业情况，读研方向选择，计算机考研建议,65917,167,2023-04-22 18:56:45,2055,832,2526,427,"计算机,编程,程序员,考研,科技,计算机技术,就业,硕士,读研,计算机考研"
